# DELS~J020611.20-025537.8    02:06:11.20 -02:55:37.8     6.00        -25.82
# DELS~J162911.29+240739.6    16:29:11.29 +24:07:39.6     6.476       -26.32
# VDES_J0224-4711         02:24:26.54     -47:11:29.4     6.526       -26.98
         Ref  Ref-Num                              Ref-Name        QSO-Name              IAU-Name            RA           Dec  Redshift  M_1450
  Banados+16       62                PSO~J065.5041--19.4579  QSO_J0422-1927  J042201.00-192728.69   04:22:01.00  -19:27:28.69    6.1247  -26.62
  Banados+16       63                PSO~J071.0322--04.5591  QSO_J0444-0433  J044407.73-043333.07   04:44:07.73  -04:33:33.07      5.89   -26.6
  Banados+16       64                PSO~J071.4507--02.3332  QSO_J0445-0219  J044548.18-021959.84   04:45:48.18  -02:19:59.84      5.69  -27.53
  Banados+16       65                       VDESJ0454--4448  QSO_J0454-4448  J045401.79-444831.10   04:54:01.79   -44:48:31.1    6.0581   -26.4
  Banados+16       66                PSO~J075.9356--07.5061  QSO_J0503-0730  J050344.56-073022.07   05:03:44.56  -07:30:22.07      5.88  -26.62
  Banados+16       67                PSO~J089.9394--15.5833  QSO_J0559-1535  J055945.47-153500.20   05:59:45.47  -15:35:00.20      6.05  -26.93
  Banados+16       68                 PSO~J108.4429+08.9257  QSO_J0713+0855  J071346.31+085532.65   07:13:46.31   08:55:32.65      5.92  -27.59
  Banados+16       69                       SDSS~J0810+5105  QSO_J0810+5105  J081054.31+510540.10   08:10:54.31   51:05:40.10      5.82  -26.82
  Banados+16       70                       SDSS~J0818+1722  QSO_J0818+1722  J081827.40+172252.01   08:18:27.40   17:22:52.01      6.02  -27.52
  Banados+16       71                       ULAS~J0828+2633  QSO_J0828+2633  J082813.41+263355.49   08:28:13.41   26:33:55.49      6.05  -26.37
  Banados+16       72                 PSO~J127.2817+03.0657  QSO_J0829+0303  J082907.62+030356.52   08:29:07.62   03:03:56.52      5.85  -26.03
  Banados+16       73                       SDSS~J0835+3217  QSO_J0835+3217  J083525.76+321752.62  08:35:25.758  +32:17:52.62      5.89  -25.81
  Banados+16       74                       SDSS~J0836+0054  QSO_J0836+0054  J083643.86+005453.26   08:36:43.86   00:54:53.26      5.81  -27.75
  Banados+16       75                        VIK~J0839+0015  QSO_J0839+0015  J083955.36+001554.21   08:39:55.36   00:15:54.21      5.84  -25.37
  Banados+16       76                       SDSS~J0840+5624  QSO_J0840+5624  J084035.10+562420.22   08:40:35.10   56:24:20.22    5.8441  -27.24
  Banados+16       77                       SDSS~J0841+2905  QSO_J0841+2905  J084119.52+290504.55   08:41:19.52   29:05:04.55      5.98   -26.5
  Banados+16       78                       SDSS~J0842+1218  QSO_J0842+1218  J084229.43+121850.58   08:42:29.43   12:18:50.58    6.0763  -26.91
  Banados+16       79                        HSC~J0844-0052  QSO_J0844-0052  J084431.60-005254.60   08:44:31.60   -00:52:54.6      6.25  -23.79
  Banados+16       80                       SDSS~J0850+3246  QSO_J0850+3246  J085048.25+324647.94   08:50:48.25   32:46:47.94      5.87  -26.73
  Banados+16       81                        HSC~J0853+0139  QSO_J0853+0139  J085348.84+013911.00   08:53:48.84    01:39:11.0      6.01  -23.06
  Banados+16       82                        HSC~J0857+0056  QSO_J0857+0056  J085738.53+005612.70   08:57:38.53    00:56:12.7      6.35  -23.06
  Banados+16       83                        HSC~J0859+0022  QSO_J0859+0022  J085907.19+002255.90   08:59:07.19   00:22:55.90    6.3903  -24.09
  Banados+16       84                 PSO~J135.3860+16.2518  QSO_J0901+1615  J090132.65+161506.83   09:01:32.65   16:15:06.83      5.63  -25.91
  Banados+16       85                        HSC~J0902+0155  QSO_J0902+0155  J090254.87+015510.90   09:02:54.87    01:55:10.9      6.01  -22.56
  Banados+16       87                        HSC~J0903+0211  QSO_J0903+0211  J090314.68+021128.30   09:03:14.68    02:11:28.3      5.92   -23.5
  Banados+16       86                PSO~J135.8704--13.8336  QSO_J0903-1350  J090328.91-135001.27   09:03:28.91  -13:50:01.27      5.91  -25.86
  Banados+16       88                        HSC~J0905+0300  QSO_J0905+0300  J090544.65+030058.80   09:05:44.65    03:00:58.8      6.27   -22.6
  Banados+16       89                        HSC~J0911+0152  QSO_J0911+0152  J091114.27+015219.40   09:11:14.27    01:52:19.4      6.07  -22.14
  Banados+16       90                       SDSS~J0927+2001  QSO_J0927+2001  J092721.82+200123.64   09:27:21.82   20:01:23.64    5.7722  -26.76
  Banados+16       91                            J1016+2541  QSO_J1016+2541  J101637.71+254131.90   10:16:37.71    25:41:31.9      5.64  -27.78
  Banados+16       92                       SDSS~J1030+0524  QSO_J1030+0524  J103027.11+052455.06   10:30:27.11   05:24:55.06     6.308  -26.99
  Banados+16       93                PSO~J157.9070--02.6599  QSO_J1031-0239  J103137.69-023935.67   10:31:37.69  -02:39:35.67      5.88  -26.44
  Banados+16       94           VST-ATLAS~J158.6938-14.4211  QSO_J1034-1425  J103446.50-142515.58   10:34:46.50  -14:25:15.58      6.07  -27.28
  Banados+16       95                PSO~J159.2257--02.5438  QSO_J1036-0232  J103654.19-023237.94   10:36:54.19  -02:32:37.94    6.3809   -26.8
  Banados+16       96                      SDSS~J1044--0125  QSO_J1044-0125  J104433.04-012502.20   10:44:33.04  -01:25:02.20    5.7847  -27.38
  Banados+16       97                       VIK~J1048--0109  QSO_J1048-0109  J104819.09-010940.29   10:48:19.09  -01:09:40.29    6.6759  -26.01
  Banados+16       98                       SDSS~J1048+4637  QSO_J1048+4637  J104845.07+463718.55   10:48:45.07   46:37:18.55    6.2284  -27.24
  Banados+16       99                     CFHQS~J1059--0906  QSO_J1059-0906  J105928.61-090620.40   10:59:28.61  -09:06:20.40      5.92  -25.87
  Banados+16      100                 PSO~J167.4726+56.9521  QSO_J1109+5657  J110953.43+565707.61   11:09:53.43   56:57:07.61      5.95   -26.0
  Banados+16      101                PSO~J167.6415--13.4960  QSO_J1110-1329  J111033.98-132945.60   11:10:33.98  -13:29:45.60    6.5157  -25.62
